PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Johnson, SP; Miller, ZJ; Lehnhoff, EA; Miller, PR; Menalled, FD				Johnson, S. P.; Miller, Z. J.; Lehnhoff, E. A.; Miller, P. R.; Menalled, F. D.			Cropping systems modify soil biota effects on wheat (Triticum aestivum) growth and competitive ability	WEED RESEARCH																													0043-1737	1365-3180				FEB	2017	57	1					6	15		10.1111/wre.12231							WOS:000397406900002						
J	Hu, XW; Pan, J; Min, DD; Fan, Y; Ding, XY; Fan, SG; Baskin, CC; Baskin, JM				Hu, X. W.; Pan, J.; Min, D. D.; Fan, Y.; Ding, X. Y.; Fan, S. G.; Baskin, C. C.; Baskin, J. M.			Seed dormancy and soil seedbank of the invasive weed Chenopodium hybridum in north-western China	WEED RESEARCH																													0043-1737	1365-3180				FEB	2017	57	1					54	64		10.1111/wre.12237							WOS:000397406900007						
J	Werle, R; Tenhumberg, B; Lindquist, JL				Werle, Rodrigo; Tenhumberg, Brigitte; Lindquist, John L.			Modeling shattercane dynamics in herbicide-tolerant grain sorghum cropping systems	ECOLOGICAL MODELLING																Lindquist, John L/D-8656-2012													0304-3800	1872-7026				JAN 10	2017	343						131	141		10.1016/j.ecolmodel.2016.10.023							WOS:000390500900011						
J	Kulkarni, SS; Dosdall, LM; Spence, JR; Willenborg, CJ				Kulkarni, Sharavari S.; Dosdall, Lloyd M.; Spence, John R.; Willenborg, Christian J.			Field density and distribution of weeds are associated with spatial dynamics of omnivorous ground beetles (Coleoptera: Carabidae)	AGRICULTURE ECOSYSTEMS & ENVIRONMENT																	Kulkarni, Sharavari/0000-0002-9929-5608												0167-8809	1873-2305				JAN 2	2017	236						134	141		10.1016/j.agee.2016.11.018							WOS:000392886700014						
J	Tsyliuryk, OI; Shevchenko, SM; Shevchenko, OM; Shvec, NV; Nikulin, VO; Ostapchuk, YV				Tsyliuryk, O. I.; Shevchenko, S. M.; Shevchenko, O. M.; Shvec, N. V.; Nikulin, V. O.; Ostapchuk, Ya. V.			Effect of the soil cultivation and fertilization on the abundance and species diversity of weeds in corn farmed ecosystems	UKRAINIAN JOURNAL OF ECOLOGY																	Cilurik, Aleksandr/0000-0002-7479-8401												2520-2138						2017	7	3					154	159		10.15421/2017_64							WOS:000418742000021						
J	Saayman, N; Cupido, C; Botha, H; Swart, R				Saayman, Nelmarie; Cupido, Clement; Botha, Hannes; Swart, Rudi			Possible rehabilitation methods of Galenia africana-dominated old lands in the Cederberg Mountains, South Africa	AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE																													1022-0119	1727-9380					2017	34	3					167	171		10.2989/10220119.2017.1380077							WOS:000416536300003						
S	Rao, AN; Brainard, DC; Kumar, V; Ladha, JK; Johnson, DE		Sparks, DL		Rao, Adusumilli N.; Brainard, Daniel C.; Kumar, Virender; Ladha, Jagdish K.; Johnson, David E.			Preventive Weed Management in Direct-Seeded Rice: Targeting the Weed Seedbank	ADVANCES IN AGRONOMY, VOL 144	Advances in Agronomy																Ladha, Jagdish/0000-0001-6517-5379												0065-2113		978-0-12-812420-8; 978-0-12-812419-2				2017	144						45	142		10.1016/bs.agron.2017.02.002							WOS:000414254800003						
J	Guzzomi, AL; Ryan, M; Saunders, C; Walsh, MJ				Guzzomi, A. L.; Ryan, M.; Saunders, C.; Walsh, M. J.			REDUCING THE INTEGRATED HARRINGTON SEED DESTRUCTOR POWER REQUIREMENTS THROUGH CHAFF FRACTION OPTIMIZATION	APPLIED ENGINEERING IN AGRICULTURE																Saunders, Chris/F-4080-2013; Walsh, Michael J/B-3283-2011	Saunders, Chris/0000-0003-2506-891X; Walsh, Michael J/0000-0002-2748-9753												0883-8542	1943-7838					2017	33	5					695	701		10.13031/aea.12154							WOS:000413224100011						
J	Simmelink, MR; Janssen, JAM; Sehaminee, JHJ; Weeda, EJ				Simmelink, Max R.; Janssen, John A. M.; Sehaminee, Joop H. J.; Weeda, Eddy J.			Habitat and management preference of Bromus racemosus L., a rare species in mesic meadows of Northwest Europe	TUEXENIA																													0722-494X						2017		37					289	312		10.14471/2017.37.002							WOS:000411417900014						
J	Reddy, DE				Reddy, Deva Eswara			Emerging Trends in Seedbanking for Food and Agriculture: An International Perspective	JOURNAL OF AGRICULTURAL & FOOD INFORMATION																													1049-6505	1540-4722					2017	18	2					145	160		10.1080/10496505.2017.1289092							WOS:000400855600008						
J	Khan, MJ; Brodie, G; Gupta, D				Khan, M. J.; Brodie, G.; Gupta, D.			THE EFFECT OF MICROWAVE SOIL TREATMENT ON RICE PRODUCTION UNDER FIELD CONDITIONS	TRANSACTIONS OF THE ASABE																Brodie, Graham/P-8734-2019; Gupta, Dorin/O-3495-2019													2151-0032	2151-0040					2017	60	2					517	525		10.13031/trans.12125							WOS:000400680100027						
J	Bean, JM; Melville, GJ; Hacker, RB				Bean, Judith M.; Melville, Gavin J.; Hacker, Ronald B.			Assessment of the potential of a range of microhabitats for use as seed production areas in moderately degraded rangelands in semiarid Australia	RANGELAND JOURNAL																													1036-9872	1834-7541					2017	39	1					49	58		10.1071/RJ16095							WOS:000395660200005						
J	Farmer, JA; Bradley, KW; Young, BG; Steckel, LE; Johnson, WG; Norsworthy, JK; Davis, VM; Loux, MM				Farmer, Jaime A.; Bradley, Kevin W.; Young, Bryan G.; Steckel, Lawrence E.; Johnson, William G.; Norsworthy, Jason K.; Davis, Vince M.; Loux, Mark M.			Influence of Tillage Method on Management of Amaranthus Species in Soybean	WEED TECHNOLOGY																Johnson, William/R-5507-2017	Norsworthy, Jason/0000-0002-7379-6201												0890-037X	1550-2740				JAN-FEB	2017	31	1					10	20		10.1614/WT-D-16-00061.1							WOS:000397118600002						
J	Schutte, BJ				Schutte, Brian J.			Measuring Interference from Midseason Tall Morningglory (Ipomoea purpurea) to Develop a Model for Teaching Weed Seedbank Effects on Chile Pepper	WEED TECHNOLOGY																													0890-037X	1550-2740				JAN-FEB	2017	31	1					155	164		10.1017/wet.2016.19							WOS:000397118600016						
J	Bae, J; Nurse, RE; Simard, MJ; Page, ER				Bae, Jichul; Nurse, Robert E.; Simard, Marie-Josee; Page, Eric R.			Managing glyphosate-resistant common ragweed (Ambrosia artemisiifolia): effect of glyphosate-phenoxy tank mixes on growth, fecundity, and seed viability	WEED SCIENCE																	Page, Eric/0000-0003-3361-5151												0043-1745	1550-2759				JAN-FEB	2017	65	1					31	40		10.1614/WS-D-16-00094.1							WOS:000395119900005						
J	Goplen, JJ; Sheaffer, CC; Becker, RL; Coulter, JA; Breitenbach, FR; Behnken, LM; Johnson, GA; Gunsolus, JL				Goplen, Jared J.; Sheaffer, Craig C.; Becker, Roger L.; Coulter, Jeffrey A.; Breitenbach, Fritz R.; Behnken, Lisa M.; Johnson, Gregg A.; Gunsolus, Jeffrey L.			Seedbank Depletion and Emergence Patterns of Giant Ragweed (Ambrosia trifida) in Minnesota Cropping Systems	WEED SCIENCE																Coulter, Jeffrey A./L-9128-2019	Coulter, Jeffrey A./0000-0003-4609-4551												0043-1745	1550-2759				JAN-FEB	2017	65	1					52	60		10.1614/WS-D-16-00084.1							WOS:000395119900007						
J	Rotches-Ribalta, R; Armengot, L; Mader, P; Mayer, J; Sans, FX				Rotches-Ribalta, Roser; Armengot, Laura; Mader, Paul; Mayer, Jochen; Sans, Francesc Xavier			Long-Term Management Affects the Community Composition of Arable Soil Seedbanks	WEED SCIENCE																Rotches, Roser/AAA-8441-2020; Serra, F. Xavier F.X. Sans Sans/D-4958-2014; Armengot, Laura/K-8209-2017	Serra, F. Xavier F.X. Sans Sans/0000-0001-9407-7751; Armengot, Laura/0000-0002-9820-9667; Rotches-Ribalta, Roser/0000-0003-4311-5863												0043-1745	1550-2759				JAN-FEB	2017	65	1					73	82		10.1614/WS-D-16-00072.1							WOS:000395119900009						
B	Catford, JA; Roberts, J; Capon, SJ; Froend, RH; Windecker, SM; Douglas, MM	Keith, DA			Catford, Jane A.; Roberts, Jane; Capon, Samantha J.; Froend, Ray H.; Windecker, Saras M.; Douglas, Michael M.	Keith, DA		Wetland Vegetation of Inland Australia	AUSTRALIAN VEGETATION, 3RD EDITION																															978-1-107-11843-0				2017							490	515			10.1017/9781316339701						WOS:000467950600021						
J	Squire, GR				Squire, Geoffrey R.			Defining sustainable limits during and after intensification in a maritime agricultural ecosystem	ECOSYSTEM HEALTH AND SUSTAINABILITY																													2096-4129	2332-8878					2017	3	8							UNSP 1368873	10.1080/20964129.2017.1368873							WOS:000442262300001						
J	Quinn, NF; Brainard, DC; Szendrei, Z				Quinn, N. F.; Brainard, D. C.; Szendrei, Z.			The Effect of Conservation Tillage and Cover Crop Residue on Beneficial Arthropods and Weed Seed Predation in Acorn Squash	ENVIRONMENTAL ENTOMOLOGY																Ibanez, Miguel/R-8092-2018	Ibanez, Miguel/0000-0001-5761-5119												0046-225X	1938-2936				DEC	2016	45	6					1543	1551		10.1093/ee/nvw139							WOS:000392943900025	28028103					
J	Schiaffino, MR; Lara, E; Fernandez, LD; Balague, V; Singer, D; Seppey, CCW; Massana, R; Izaguirre, I				Romina Schiaffino, M.; Lara, Enrique; Fernandez, Leonardo D.; Balague, Vanessa; Singer, David; Seppey, Christophe C. W.; Massana, Ramon; Izaguirre, Irina			Microbial eukaryote communities exhibit robust biogeographical patterns along a gradient of Patagonian and Antarctic lakes	ENVIRONMENTAL MICROBIOLOGY																Lara, Enrique/N-3679-2017; Singer, David/B-6889-2016	Lara, Enrique/0000-0001-8500-522X; Singer, David/0000-0002-4116-033X; Massana, Ramon/0000-0001-9172-5418												1462-2912	1462-2920				DEC	2016	18	12					5249	5264		10.1111/1462-2920.13566							WOS:000392946900070	27709755					
J	Rayburn, AP; Schriefer, C; Zamora, A; Laca, EA				Rayburn, Andrew P.; Schriefer, Craig; Zamora, Aubrianne; Laca, Emilio A.			Seedbank-Vegetation Relationships in Restored and Degraded Annual California Grasslands: Implications for Restoration	ECOLOGICAL RESTORATION																	Laca, Emilio/0000-0002-7551-0721												1543-4060	1543-4079				DEC	2016	34	4					277	284		10.3368/er.34.4.277							WOS:000456496100003						
J	Pandolfo, CE; Presotto, A; Carbonell, FT; Ureta, S; Poverene, M; Cantamutto, M				Pandolfo, Claudio E.; Presotto, Alejandro; Torres Carbonell, Francisco; Ureta, Soledad; Poverene, Monica; Cantamutto, Miguel			Transgenic glyphosate-resistant oilseed rape (Brassica napus) as an invasive weed in Argentina: detection, characterization, and control alternatives	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH																	Presotto, Alejandro/0000-0002-9085-9673; Pandolfo, Claudio/0000-0002-7089-7138												0944-1344	1614-7499				DEC	2016	23	23					24081	24091		10.1007/s11356-016-7670-5							WOS:000388601400066	27638808					
J	Buchanan, AL; Kolb, LN; Hooks, CRR				Buchanan, Amanda L.; Kolb, Lauren N.; Hooks, Cerruti R. R.			Can winter cover crops influence weed density and diversity in a reduced tillage vegetable system?	CROP PROTECTION																													0261-2194	1873-6904				DEC	2016	90						9	16		10.1016/j.cropro.2016.08.006							WOS:000385319400002						
J	Zwanenburg, B; Mwakaboko, AS; Kannan, C				Zwanenburg, Binne; Mwakaboko, Alinanuswe S.; Kannan, Chinnaswamy			Suicidal germination for parasitic weed control	PEST MANAGEMENT SCIENCE																													1526-498X	1526-4998				NOV	2016	72	11					2016	2025		10.1002/ps.4222							WOS:000385665300002	26733056					
J	Dahlquist-Willard, RM; Marshall, MN; Betts, SL; Tuell-Todd, CC; VanderGheynst, JS; Stapleton, JJ				Dahlquist-Willard, Ruth M.; Marshall, Megan N.; Betts, Stacy L.; Tuell-Todd, Carrie C.; VanderGheynst, Jean S.; Stapleton, James J.			Development and validation of a Weibull-Arrhenius model to predict thermal inactivation of black mustard (Brassica nigra) seeds under fluctuating temperature regimens	BIOSYSTEMS ENGINEERING																	Stapleton, James/0000-0002-3571-1115												1537-5110	1537-5129				NOV	2016	151						350	360		10.1016/j.biosystemseng.2016.09.015							WOS:000389729200030						
J	Haughton, AJ; Bohan, DA; Clark, SJ; Mallott, MD; Mallott, V; Sage, R; Karp, A				Haughton, Alison J.; Bohan, David A.; Clark, Suzanne J.; Mallott, Mark D.; Mallott, Victoria; Sage, Rufus; Karp, Angela			Dedicated biomass crops can enhance biodiversity in the arable landscape	GLOBAL CHANGE BIOLOGY BIOENERGY																Haughton, Alison/A-7769-2013; Karp, Angela/D-1119-2017; Bohan, David A/D-7992-2012	Haughton, Alison/0000-0002-2852-5736; Karp, Angela/0000-0001-6897-2672; Bohan, David A/0000-0001-5656-775X												1757-1693	1757-1707				NOV	2016	8	6					1071	1081		10.1111/gcbb.12312							WOS:000390038800004	27867421					
J	Lukina, AO; Boutin, C; Rowland, O; Carpenter, DJ				Lukina, A. O.; Boutin, C.; Rowland, O.; Carpenter, D. J.			Evaluating trivalent chromium toxicity on wild terrestrial and wetland plants	CHEMOSPHERE																													0045-6535	1879-1298				NOV	2016	162						355	364		10.1016/j.chemosphere.2016.07.055							WOS:000383296500042	27543852					
J	Lati, RN; Shem-Tov, S; Fennimore, SA				Lati, Ran N.; Shem-Tov, Shachar; Fennimore, Steven A.			Burning Nettle (Urtica urens) Germination and Seedbank Characteristics in Coastal California	WEED SCIENCE																													0043-1745	1550-2759				OCT-DEC	2016	64	4					664	672		10.1614/WS-D-15-00205.1							WOS:000386055100013						
J	Muller-Stover, D; Nybroe, O; Baraibar, B; Loddo, D; Eizenberg, H; French, K; Sonderskov, M; Neve, P; Peltzer, DA; Maczey, N; Christensen, S				Muller-Stover, D.; Nybroe, O.; Baraibar, B.; Loddo, D.; Eizenberg, H.; French, K.; Sonderskov, M.; Neve, P.; Peltzer, D. A.; Maczey, N.; Christensen, S.			Contribution of the seed microbiome to weed management	WEED RESEARCH																Neve, Paul/P-8726-2015; Loddo, Donato/K-6716-2014; Nybroe, Ole/G-2421-2014; Peltzer, Duane A/A-9463-2009; Sonderskov, Mette/B-1261-2015; Muller-Stover, Dorette/C-1999-2015; French, Kris/I-8202-2012	Neve, Paul/0000-0002-3136-5286; Loddo, Donato/0000-0001-8118-9973; Nybroe, Ole/0000-0001-7354-0188; Peltzer, Duane A/0000-0001-7724-3738; Muller-Stover, Dorette/0000-0001-7921-4471; French, Kris/0000-0001-6938-2017												0043-1737	1365-3180				OCT	2016	56	5					335	339		10.1111/wre.12218							WOS:000385024600001						
J	Klima, K; Synowiec, A				Klima, K.; Synowiec, A.			Field emergence and the long-term efficacy of control of Heracleum sosnowskyi plants of different ages in southern Poland	WEED RESEARCH																Synowiec, Agnieszka/N-4697-2015	Synowiec, Agnieszka/0000-0001-6585-7759; Klima, Kazimierz/0000-0002-5878-8908												0043-1737	1365-3180				OCT	2016	56	5					377	385		10.1111/wre.12214							WOS:000385024600006						
J	Schutte, BJ; Klypin, N; Shukla, MK				Schutte, Brian J.; Klypin, Nina; Shukla, Manoj K.			Influence of Irrigation Timing on Disturbance-Induced Reductions in Soil Seedbank Density	WEED SCIENCE																													0043-1745	1550-2759				OCT-DEC	2016	64	4					613	623		10.1614/WS-D-15-00191.1							WOS:000386055100008						
J	Wu, HW; Stanton, R; Lemerle, D				Wu, Hanwen; Stanton, Rex; Lemerle, Deirdre			Herbicidal control of Solanum elaeagnifolium Cay. in Australia	CROP PROTECTION																Wu, Hanwen/B-7901-2010	Wu, Hanwen/0000-0001-5157-4977												0261-2194	1873-6904				OCT	2016	88						58	64		10.1016/j.cropro.2016.06.001							WOS:000382350900008						
J	Gornish, ES; Fierer, N; Barberan, A				Gornish, Elise S.; Fierer, Noah; Barberan, Albert			Associations between an Invasive Plant (Taeniatherum caput-medusae, Medusahead) and Soil Microbial Communities	PLOS ONE																													1932-6203					SEP 29	2016	11	9							e0163930	10.1371/journal.pone.0163930							WOS:000384328500138	27685330					
J	Keene, CL; Curran, WS				Keene, C. L.; Curran, W. S.			Optimizing High-Residue Cultivation Timing and Frequency in Reduced-Tillage Soybean and Corn	AGRONOMY JOURNAL																													0002-1962	1435-0645				SEP-OCT	2016	108	5					1897	1906		10.2134/agronj2015.0604							WOS:000387553900014						
J	Mavunganidze, Z; Madakadze, IC; Nyamangara, J; Mafongoya, P				Mavunganidze, Z.; Madakadze, I. C.; Nyamangara, J.; Mafongoya, P.			Influence of selected soil properties, soil management practices and socio-economic variables on relative weed density in a hand hoe-based conservation agriculture system	SOIL USE AND MANAGEMENT																													0266-0032	1475-2743				SEP	2016	32	3					433	445		10.1111/sum.12287							WOS:000385003700017						
J	Galatowitsch, SM; Larson, DL; Larson, JL				Galatowitsch, Susan M.; Larson, Diane L.; Larson, Jennifer L.			Factors affecting post-control reinvasion by seed of an invasive species, Phragmites australis, in the central Platte River, Nebraska	BIOLOGICAL INVASIONS																	Larson, Diane/0000-0001-5202-0634												1387-3547	1573-1464				SEP	2016	18	9			SI		2505	2516		10.1007/s10530-015-1048-3							WOS:000382136500009						
J	Cordeau, S; Triolet, M; Wayman, S; Steinberg, C; Guillemin, JP				Cordeau, Stephane; Triolet, Marion; Wayman, Sandra; Steinberg, Christian; Guillemin, Jean -Philippe			Bioherbicides: Dead in the water? A review of the existing products for integrated weed management	CROP PROTECTION																CORDEAU, Stephane/K-6926-2012	CORDEAU, Stephane/0000-0003-1069-8388												0261-2194	1873-6904				SEP	2016	87						44	49		10.1016/j.cropro.2016.04.016							WOS:000378451200008						
J	Correia, M; Montesinos, D; French, K; Rodriguez-Echeverria, S				Correia, Marta; Montesinos, Daniel; French, Kristine; Rodriguez-Echeverria, Susana			Evidence for enemy release and increased seed production and size for two invasive Australian acacias	JOURNAL OF ECOLOGY																Rodriguez-Echeverria, Susana/I-1730-2015; Correia, Marta/AAG-8388-2019; Montesinos, Daniel/A-9070-2012; French, Kris/I-8202-2012	Rodriguez-Echeverria, Susana/0000-0002-2058-3229; Correia, Marta/0000-0003-0475-8962; Montesinos, Daniel/0000-0003-2893-0878; French, Kris/0000-0001-6938-2017												0022-0477	1365-2745				SEP	2016	104	5					1391	1399		10.1111/1365-2745.12612							WOS:000383551800018						
J	Chakraborty, S; Cici, SZH; Todd, J; Loucks, C; Van Acker, RC				Chakraborty, S.; Cici, S. Z. H.; Todd, J.; Loucks, C.; Van Acker, R. C.			Exploring the weed biology of two potentially novel oilseed crops: Euphorbia lagascae and Centrapalus pauciflorus	CANADIAN JOURNAL OF PLANT SCIENCE																													0008-4220	1918-1833				AUG	2016	96	4					677	688		10.1139/cjps-2015-0270							WOS:000382323400018						
